rental_ym,day_type,station_name,gender,age_group,total_rides,avg_distance_km,avg_duration_min,avg_speed_kmh,avg_exercise,avg_co2
202301,Weekend,"2221. 방일초교 마을버스 정류장",NULL,50대,18,0,305,0,914.59,8.83
202301,Weekend,"2221. 방일초교 마을버스 정류장",NULL,60대,21,0,254,0,696.43,6.09
202301,Weekend,"113. 홍대입구역 2번출구 앞",NULL,50대,47,0,984,0,2635.38,23.83
202301,Weekend,"113. 홍대입구역 2번출구 앞",NULL,60대,54,0,2604,0,2282.83,19.16
202301,Weekend,"2221. 방일초교 마을버스 정류장",F,40대,10,0,200,0,283.06,3.08
202301,Weekend,"113. 홍대입구역 2번출구 앞",F,60대,5,0,47,0,107.79,1.07
202301,Weekend,"2221. 방일초교 마을버스 정류장",F,50대,28,0,604,0,589.46,6.3
202301,Weekend,"113. 홍대입구역 2번출구 앞",F,70대이상,2,0,122,0,97.8,0.67
202301,Weekend,"2221. 방일초교 마을버스 정류장",F,60대,21,0,387,0,757.42,7.14
202301,Weekend,"2221. 방일초교 마을버스 정류장",F,~10대,1,0,13,0,27.69,0.31
202301,Weekend,"2221. 방일초교 마을버스 정류장",M,50대,21,0,714,0,1724.34,13.12
202301,Weekend,"113. 홍대입구역 2번출구 앞",M,60대,70,0,697,0,2710.17,22.35
202301,Weekend,"113. 홍대입구역 2번출구 앞",M,70대이상,2,0,48,0,87.17,0.8
202301,Weekend,"2221. 방일초교 마을버스 정류장",M,기타,20,0,256,0,770.54,6.99
202301,Weekend,"2222.사당역 12번출구 뒤",NULL,20대,88,0,1142,0,2893.8500000000004,25.964999999999996
202301,Weekend,"114. 홍대입구역 8번출구 앞",NULL,30대,96,0,787,0,1807.2066666666667,15.199999999999998
202301,Weekend,"2222.사당역 12번출구 뒤",NULL,30대,103,0,726.5,0,1615.765,14.09
202301,Weekend,"114. 홍대입구역 8번출구 앞",NULL,~10대,8,0,88.5,0,255.17000000000002,2.33
202301,Weekend,"2222.사당역 12번출구 뒤",NULL,40대,36,0,163.5,0,579.355,4.665
202301,Weekend,"114. 홍대입구역 8번출구 앞",NULL,기타,24,0,139.75,0,326.875,3.1499999999999995
